"source","PlotNo","oatName","peaName"
"oatE 220   plots 5","233","IL23-3468","NDP250059Y peaE 33"
"oatE 220   plots 5","268","IL23-3468","NDP250115G peaE 89"
"oatE 220   plots 5","284","IL23-3468","NDP250182G peaE 156"
"oatE 221   plots 1","029","IL23-3517","NDP250075Y peaE 49"
"oatE 222   plots 2","181","IL23-3545","NDP250091Y peaE 65"
"oatE 222   plots 2","350","IL23-3545","NDP250091Y peaE 65"
"oatE 223   plots 3","087","IL23-3549","NDP120181Y peaE 167"
"oatE 223   plots 3","182","IL23-3549","NDP120181Y peaE 167"
"oatE 223   plots 3","243","IL23-3549","NDP250172Y peaE 146"
"oatE 224   plots 1","283","IL23-3565","NDP250163Y peaE 137"
"oatE 225   plots 1","341","IL23-3572","NDP250031Y peaE 5"
"oatE 226   plots 1","033","IL23-3576","NDP250095Y peaE 69"
"oatE 228   plots 3","103","IL23-3627","NDP250040Y peaE 14"
"oatE 228   plots 3","168","IL23-3627","NDP250110G peaE 84"
"oatE 228   plots 3","337","IL23-3627","NDP250155Y peaE 129"
"oatE 231   plots 1","045","IL23-3655","NDP250080Y peaE 54"
"oatE 232   plots 3","055","IL23-3661","NDP250088Y peaE 62"
"oatE 232   plots 3","060","IL23-3661","NDP250088Y peaE 62"
"oatE 232   plots 3","206","IL23-3661","NDP121714R peaE 169"
"oatE 236   plots 1","016","IL23-3710","NDP250060Y peaE 34"
"oatE 238   plots 1","396","IL23-3731","NDP170273Y peaE 235"
"oatE 240   plots 2","245","IL23-3751","NDP250179Y peaE 153"
"oatE 240   plots 2","381","IL23-3751","NDP250179Y peaE 153"
"oatE 241   plots 1","140","IL23-3754","NDP250050Y peaE 24"
"oatE 243   plots 1","167","IL23-3823","NDP170089G peaE 210"
"oatE 246   plots 1","185","IL23-3829","NDP170190Y peaE 227"
"oatE 247   plots 1","082","IL23-3830","NDP250140G peaE 114"
"oatE 248   plots 1","165","IL23-3838","NDP250084Y peaE 58"
"oatE 249   plots 4","006","IL23-3842","NDP250131Y peaE 105"
"oatE 249   plots 4","036","IL23-3842","NDP170273Y peaE 235"
"oatE 249   plots 4","037","IL23-3842","NDP250037Y peaE 11"
"oatE 249   plots 4","217","IL23-3842","NDP250170Y peaE 144"
"oatE 250   plots 1","251","IL23-3848","NDP250173Y peaE 147"
"oatE 251   plots 1","194","IL23-3857","NDP250154Y peaE 128"
"oatE 252   plots 2","178","IL23-3874","NDP150223G peaE 180"
"oatE 252   plots 2","291","IL23-3874","NDP170200Y peaE 228"
"oatE 254   plots 2","083","IL23-4039","NDP160034Y peaE 187"
"oatE 254   plots 2","308","IL23-4039","NDP250189G peaE 163"
"oatE 255   plots 2","220","IL23-4049","NDP250187G peaE 161"
"oatE 255   plots 2","250","IL23-4049","NDP170028G peaE 200"
"oatE 256   plots 1","032","IL23-4063","NDP160153Y peaE 189"
"oatE 257   plots 1","242","IL23-4079","NDP250173Y peaE 147"
"oatE 260   plots 1","142","IL23-4243","NDP250076Y peaE 50"
"oatE 261   plots 1","344","IL23-4252","NDP150231Y peaE 182"
"oatE 263   plots 3","051","IL23-4259","NDP170322Y peaE 236"
"oatE 263   plots 3","068","IL23-4259","NDP250041Y peaE 15"
"oatE 263   plots 3","361","IL23-4259","NDP250102Y peaE 76"
"oatE 264   plots 3","125","IL23-4274","NDP170182Y peaE 224"
"oatE 264   plots 3","151","IL23-4274","NDP170336G peaE 238"
"oatE 264   plots 3","309","IL23-4274","NDP170249Y peaE 232"
"oatE 267   plots 3","213","IL23-4469","NDP250151Y peaE 125"
"oatE 267   plots 3","215","IL23-4469","NDP250104G peaE 78"
"oatE 267   plots 3","303","IL23-4469","NDP250172Y peaE 146"
"oatE 270   plots 3","071","IL23-4546","NDP160034Y peaE 187"
"oatE 270   plots 3","166","IL23-4546","NDP250185G peaE 159"
"oatE 270   plots 3","176","IL23-4546","NDP250087Y peaE 61"
"oatE 271   plots 2","065","IL23-4547","NDP250031Y peaE 5"
