bulk_pack,peaEntry,accessionPea,Location,g_pea_per_location,nPlots,state
228,55,NDP250081Y,3,124.8,2,IL
229,55,NDP250081Y,5,124.8,2,NY
230,56,NDP250082Y,1,107.4,2,AL
231,56,NDP250082Y,2,107.4,2,IA
232,56,NDP250082Y,5,53.7,1,NY
233,57,NDP250083Y,1,320.4,6,AL
234,57,NDP250083Y,3,53.4,1,IL
235,57,NDP250083Y,4,106.8,2,ND
236,58,NDP250084Y,1,130.1,2,AL
237,58,NDP250084Y,2,130.1,2,IA
238,58,NDP250084Y,3,130.1,2,IL
239,58,NDP250084Y,4,65.1,1,ND
240,58,NDP250084Y,5,390.3,6,NY
241,59,NDP250085Y,1,111.6,2,AL
242,59,NDP250085Y,2,111.6,2,IA
243,59,NDP250085Y,3,111.6,2,IL
244,59,NDP250085Y,5,55.8,1,NY
245,60,NDP250086Y,1,142.8,2,AL
246,60,NDP250086Y,2,71.4,1,IA
247,60,NDP250086Y,4,71.4,1,ND
248,61,NDP250087Y,1,77.1,1,AL
249,61,NDP250087Y,2,77.1,1,IA
250,61,NDP250087Y,3,77.1,1,IL
251,61,NDP250087Y,5,231.2,3,NY
252,62,NDP250088Y,4,474.6,7,ND
253,62,NDP250088Y,5,203.4,3,NY
254,63,NDP250089Y,1,130.8,2,AL
255,63,NDP250089Y,2,65.4,1,IA
256,63,NDP250089Y,3,130.8,2,IL
257,63,NDP250089Y,4,65.4,1,ND
258,63,NDP250089Y,5,327,5,NY
259,64,NDP250090Y,2,126,2,IA
260,64,NDP250090Y,3,189,3,IL
261,64,NDP250090Y,4,126,2,ND
262,64,NDP250090Y,5,126,2,NY
263,65,NDP250091Y,1,120,2,AL
264,65,NDP250091Y,2,60,1,IA
265,65,NDP250091Y,3,180,3,IL
266,65,NDP250091Y,4,240,4,ND
267,65,NDP250091Y,5,240,4,NY
268,66,NDP250092Y,2,138.6,2,IA
269,66,NDP250092Y,5,69.3,1,NY
270,67,NDP250093Y,1,54.6,1,AL
271,67,NDP250093Y,2,109.2,2,IA
272,67,NDP250093Y,3,109.2,2,IL
273,67,NDP250093Y,4,109.2,2,ND
274,67,NDP250093Y,5,54.6,1,NY
275,68,NDP250094Y,1,51.6,1,AL
276,68,NDP250094Y,2,51.6,1,IA
277,68,NDP250094Y,3,51.6,1,IL
278,68,NDP250094Y,4,154.8,3,ND
279,68,NDP250094Y,5,51.6,1,NY
280,69,NDP250095Y,1,54,1,AL
281,69,NDP250095Y,2,108,2,IA
282,69,NDP250095Y,3,162,3,IL
283,69,NDP250095Y,4,108,2,ND
284,69,NDP250095Y,5,162,3,NY
285,70,NDP250096Y,1,53.7,1,AL
286,70,NDP250096Y,2,107.4,2,IA
287,70,NDP250096Y,4,53.7,1,ND
288,71,NDP250097Y,1,256.8,4,AL
289,71,NDP250097Y,2,64.2,1,IA
290,71,NDP250097Y,3,192.6,3,IL
291,71,NDP250097Y,4,64.2,1,ND
292,72,NDP250098Y,1,141.6,2,AL
293,72,NDP250098Y,2,70.8,1,IA
294,72,NDP250098Y,3,70.8,1,IL
295,72,NDP250098Y,4,141.6,2,ND
296,72,NDP250098Y,5,141.6,2,NY
297,73,NDP250099Y,1,57.9,1,AL
298,73,NDP250099Y,2,115.8,2,IA
299,73,NDP250099Y,3,57.9,1,IL
300,73,NDP250099Y,4,57.9,1,ND
301,73,NDP250099Y,5,57.9,1,NY
302,74,NDP250100Y,1,63.5,1,AL
303,74,NDP250100Y,2,63.5,1,IA
304,74,NDP250100Y,3,190.4,3,IL
305,74,NDP250100Y,4,63.5,1,ND
306,74,NDP250100Y,5,63.5,1,NY
307,75,NDP250101Y,1,252,4,AL
308,75,NDP250101Y,2,63,1,IA
309,75,NDP250101Y,3,63,1,IL
310,75,NDP250101Y,4,189,3,ND
311,75,NDP250101Y,5,63,1,NY
312,76,NDP250102Y,2,75.6,1,IA
313,76,NDP250102Y,3,151.2,2,IL
314,76,NDP250102Y,4,151.2,2,ND
315,76,NDP250102Y,5,75.6,1,NY
316,77,NDP250103G,2,43.5,1,IA
317,77,NDP250103G,3,43.5,1,IL
318,77,NDP250103G,5,87,2,NY
319,78,NDP250104G,1,52.2,1,AL
320,78,NDP250104G,3,52.2,1,IL
321,78,NDP250104G,4,52.2,1,ND
322,78,NDP250104G,5,104.4,2,NY
323,79,NDP250105G,1,65.5,1,AL
324,79,NDP250105G,2,131.1,2,IA
325,79,NDP250105G,3,196.6,3,IL
326,79,NDP250105G,4,65.5,1,ND
327,79,NDP250105G,5,131.1,2,NY
328,80,NDP250106G,1,102,2,AL
329,80,NDP250106G,2,102,2,IA
330,80,NDP250106G,3,102,2,IL
331,80,NDP250106G,4,51,1,ND
332,80,NDP250106G,5,102,2,NY
333,81,NDP250107G,1,256.8,4,AL
334,81,NDP250107G,3,64.2,1,IL
335,81,NDP250107G,4,128.4,2,ND
336,81,NDP250107G,5,64.2,1,NY
337,82,NDP250108G,1,109.8,2,AL
338,82,NDP250108G,2,54.9,1,IA
339,82,NDP250108G,3,109.8,2,IL
340,82,NDP250108G,4,54.9,1,ND
341,83,NDP250109G,1,61.5,1,AL
342,83,NDP250109G,2,61.5,1,IA
343,83,NDP250109G,3,61.5,1,IL
344,83,NDP250109G,4,184.5,3,ND
345,83,NDP250109G,5,123,2,NY
346,84,NDP250110G,1,225.6,4,AL
347,84,NDP250110G,2,169.2,3,IA
348,84,NDP250110G,3,56.4,1,IL
349,84,NDP250110G,4,169.2,3,ND
350,84,NDP250110G,5,112.8,2,NY
351,85,NDP250111G,1,153.5,3,AL
352,85,NDP250111G,2,51.2,1,IA
353,85,NDP250111G,5,51.2,1,NY
354,86,NDP250112G,1,160.2,3,AL
355,86,NDP250112G,2,53.4,1,IA
356,86,NDP250112G,3,213.6,4,IL
357,86,NDP250112G,4,106.8,2,ND
358,86,NDP250112G,5,106.8,2,NY
359,87,NDP250113G,1,163.8,3,AL
360,87,NDP250113G,2,163.8,3,IA
361,87,NDP250113G,3,109.2,2,IL
362,87,NDP250113G,4,163.8,3,ND
363,87,NDP250113G,5,109.2,2,NY
364,88,NDP250114G,2,115.2,2,IA
365,88,NDP250114G,4,115.2,2,ND
366,88,NDP250114G,5,115.2,2,NY
367,89,NDP250115G,2,67.2,1,IA
368,89,NDP250115G,3,67.2,1,IL
369,89,NDP250115G,4,67.2,1,ND
370,89,NDP250115G,5,134.4,2,NY
371,90,NDP250116G,2,127.2,2,IA
372,90,NDP250116G,3,254.4,4,IL
373,90,NDP250116G,4,318,5,ND
374,90,NDP250116G,5,63.6,1,NY
375,91,NDP250117G,4,65.7,1,ND
376,91,NDP250117G,5,65.7,1,NY
377,92,NDP250118G,1,114.6,2,AL
378,92,NDP250118G,2,57.3,1,IA
379,92,NDP250118G,4,57.3,1,ND
380,93,NDP250119G,1,122.4,2,AL
381,93,NDP250119G,2,61.2,1,IA
382,93,NDP250119G,4,183.6,3,ND
383,94,NDP250120G,1,206.1,3,AL
384,94,NDP250120G,2,137.4,2,IA
385,94,NDP250120G,3,68.7,1,IL
386,94,NDP250120G,4,137.4,2,ND
387,94,NDP250120G,5,137.4,2,NY
388,95,NDP250121Y,1,71.4,1,AL
389,95,NDP250121Y,2,71.4,1,IA
390,95,NDP250121Y,3,71.4,1,IL
391,95,NDP250121Y,4,71.4,1,ND
392,95,NDP250121Y,5,71.4,1,NY
393,96,NDP250122Y,1,234,3,AL
394,96,NDP250122Y,2,78,1,IA
395,96,NDP250122Y,4,156,2,ND
396,96,NDP250122Y,5,156,2,NY
397,97,NDP250123Y,1,77,1,AL
398,97,NDP250123Y,2,230.9,3,IA
399,97,NDP250123Y,3,77,1,IL
400,97,NDP250123Y,4,77,1,ND
401,97,NDP250123Y,5,77,1,NY
402,98,NDP250124Y,1,78,1,AL
403,98,NDP250124Y,2,156,2,IA
404,98,NDP250124Y,3,156,2,IL
405,98,NDP250124Y,5,156,2,NY
406,99,NDP250125Y,1,140.2,2,AL
407,99,NDP250125Y,2,70.1,1,IA
408,99,NDP250125Y,3,140.2,2,IL
409,99,NDP250125Y,4,210.3,3,ND
410,99,NDP250125Y,5,70.1,1,NY
411,100,NDP250126Y,5,144,2,NY
412,101,NDP250127Y,1,129.6,2,AL
413,101,NDP250127Y,3,129.6,2,IL
414,101,NDP250127Y,4,129.6,2,ND
415,102,NDP250128Y,1,63.3,1,AL
416,102,NDP250128Y,3,126.5,2,IL
417,102,NDP250128Y,4,189.8,3,ND
418,102,NDP250128Y,5,126.5,2,NY
419,103,NDP250129Y,3,63.6,1,IL
420,103,NDP250129Y,4,190.8,3,ND
