sn,Pea,Oat,combo2,category,Replication,Location,Present on field PlotNumber,Row,Column,original on T3 PlotNumber,plot_number,changed,type of change
217,NDP250079Y,IL23-4572,NDP250079Y+IL23-4572,unique_combos,Rep 0,1,217,6,24,217,1217,TRUE,
218,NDP250037Y,IL23-1632,NDP250037Y+IL23-1632,unique_combos,Rep 0,1,218,6,23,218,1218,TRUE,
219,NDP250136G,IL23-3655,NDP250136G+IL23-3655,unique_combos,Rep 0,1,219,6,22,219,1219,TRUE,
220,NDP250185G,IL22-4548,NDP250185G+IL22-4548,unique_combos,Rep 0,1,220,6,21,220,1220,TRUE,
221,NDP150210Y,IL23-423,NDP150210Y+IL23-423,unique_combos,Rep 0,1,221,6,20,221,1221,TRUE,
222,NDP250087Y,IL23-1657,NDP250087Y+IL23-1657,unique_combos,Rep 0,1,222,6,19,222,1222,TRUE,
223,NDP250141G,IL23-2956,NDP250141G+IL23-2956,unique_combos,Rep 0,1,223,6,18,223,1223,TRUE,
224,NDP250141G,IL23-551,NDP250141G+IL23-551,unique_combos,Rep 0,1,224,6,17,224,1224,TRUE,
225,NDP150412G,IL19-7058,NDP150412G+IL19-7058,unique_combos,Rep 0,1,225,6,16,225,1225,TRUE,
226,NDP250050Y,IL23-2034,NDP250050Y+IL23-2034,within_loc,Rep 1,1,226,6,15,226,1226,TRUE,
227,NDP250125Y,IL23-1608,NDP250125Y+IL23-1608,unique_combos,Rep 0,1,227,6,14,227,1227,TRUE,
228,ND VICTORY,IL23-1655,ND VICTORY+IL23-1655,unique_combos,Rep 0,1,228,6,13,228,1228,TRUE,
229,NDP170001G,IL21-4020,NDP170001G+IL21-4020,unique_combos,Rep 0,1,229,6,12,229,1229,TRUE,
230,NDP170052G,IL19-7058,NDP170052G+IL19-7058,unique_combos,Rep 0,1,230,6,11,230,1230,TRUE,
231,NDP250070Y,IL21-8143,NDP250070Y+IL21-8143,unique_combos,Rep 0,1,231,6,10,231,1231,TRUE,
232,NDP250147G,IL23-1259,NDP250147G+IL23-1259,unique_combos,Rep 0,1,232,6,9,232,1232,TRUE,
233,NDP250085Y,IL23-3848,NDP250085Y+IL23-3848,unique_combos,Rep 0,1,233,6,8,233,1233,TRUE,
234,NDP250049Y,IL23-3673,NDP250049Y+IL23-3673,unique_combos,Rep 0,1,234,6,7,234,1234,TRUE,
235,NDP250125Y,IL23-423,NDP250125Y+IL23-423,unique_combos,Rep 0,1,235,6,6,235,1235,TRUE,
236,NDP250174Y,IL23-612,NDP250174Y+IL23-612,unique_combos,Rep 0,1,236,6,5,236,1236,TRUE,
237,NDP250121Y,IL23-271,NDP250121Y+IL23-271,across_loc,Rep 0,1,237,6,4,237,1237,TRUE,
238,NDP170328G,IL23-1206,NDP170328G+IL23-1206,within_loc,Rep 2,1,238,6,3,238,1238,TRUE,
239,NDP250133G,IL19-2033,NDP250133G+IL19-2033,unique_combos,Rep 0,1,239,6,2,239,1239,TRUE,
240,NDP170182Y,IL23-3565,NDP170182Y+IL23-3565,unique_combos,Rep 0,1,240,6,1,241,1240,FALSE,field_row
241,NDP170245Y,IL23-3754,NDP170245Y+IL23-3754,unique_combos,Rep 0,1,241,7,1,320,1241,FALSE,field_row
242,NDP250107G,IL19-7063,NDP250107G+IL19-7063,unique_combos,Rep 0,1,242,7,2,242,1242,TRUE,
243,NDP170202Y,IL23-1628,NDP170202Y+IL23-1628,unique_combos,Rep 0,1,243,7,3,243,1243,TRUE,
244,NDP250131Y,IL23-1115,NDP250131Y+IL23-1115,unique_combos,Rep 0,1,244,7,4,244,1244,TRUE,
245,NDP170273Y,IL23-1617,NDP170273Y+IL23-1617,unique_combos,Rep 0,1,245,7,5,245,1245,TRUE,
246,NDP150218Y,IL19-2033,NDP150218Y+IL19-2033,unique_combos,Rep 0,1,246,7,6,246,1246,TRUE,
247,NDP250128Y,IL22-3958,NDP250128Y+IL22-3958,unique_combos,Rep 0,1,247,7,7,247,1247,TRUE,
248,NDP250081Y,IL23-1410,NDP250081Y+IL23-1410,unique_combos,Rep 0,1,248,7,8,248,1248,TRUE,
249,NDP250082Y,IL23-4274,NDP250082Y+IL23-4274,unique_combos,Rep 0,1,249,7,9,249,1249,TRUE,
250,NDP250152Y,IL23-376,NDP250152Y+IL23-376,unique_combos,Rep 0,1,250,7,10,250,1250,TRUE,
251,NDP250169Y,IL23-3842,NDP250169Y+IL23-3842,unique_combos,Rep 0,1,251,7,11,251,1251,TRUE,
252,NDP170253Y,IL23-965,NDP170253Y+IL23-965,unique_combos,Rep 0,1,252,7,12,252,1252,TRUE,
253,NDP170056G,IL23-251,NDP170056G+IL23-251,within_loc,Rep 1,1,253,7,13,253,1253,TRUE,
254,NDP250036Y,IL23-1628,NDP250036Y+IL23-1628,unique_combos,Rep 0,1,254,7,14,254,1254,TRUE,
255,NDP250119G,IL23-3434,NDP250119G+IL23-3434,unique_combos,Rep 0,1,255,7,15,255,1255,TRUE,
256,NDP250052Y,IL21-4039,NDP250052Y+IL21-4039,within_loc,Rep 1,1,256,7,16,256,1256,TRUE,
257,NDP250027G,IL23-2246,NDP250027G+IL23-2246,unique_combos,Rep 0,1,257,7,17,257,1257,TRUE,
258,NDP250122Y,IL22-4235,NDP250122Y+IL22-4235,unique_combos,Rep 0,1,258,7,18,258,1258,TRUE,
259,NDP250186G,IL23-1129,NDP250186G+IL23-1129,unique_combos,Rep 0,1,259,7,19,259,1259,TRUE,
260,NDP170183Y,IL23-1764,NDP170183Y+IL23-1764,unique_combos,Rep 0,1,260,7,20,260,1260,TRUE,
261,NDP250058G,IL23-4572,NDP250058G+IL23-4572,unique_combos,Rep 0,1,261,7,21,300,1261,FALSE,field_row
262,NDP250076Y,IL23-771,NDP250076Y+IL23-771,unique_combos,Rep 0,1,262,7,22,262,1262,TRUE,
263,NDP140295G,IL22-2364,NDP140295G+IL22-2364,unique_combos,Rep 0,1,263,7,23,263,1263,TRUE,
264,NDP140295G,IL23-2010,NDP140295G+IL23-2010,unique_combos,Rep 0,1,264,7,24,264,1264,TRUE,
265,NDP250110G,IL23-4274,NDP250110G+IL23-4274,unique_combos,Rep 0,1,265,7,25,265,1265,TRUE,
266,NDP150070G,IL22-3958,NDP150070G+IL22-3958,unique_combos,Rep 0,1,266,7,26,266,1266,TRUE,
267,NDP250138G,IL23-4252,NDP250138G+IL23-4252,unique_combos,Rep 0,1,267,7,27,267,1267,TRUE,
268,NDP250097Y,IL23-1617,NDP250097Y+IL23-1617,within_loc,Rep 2,1,268,7,28,268,1268,TRUE,
269,NDP170056G,IL23-4572,NDP170056G+IL23-4572,across_loc,Rep 0,1,269,7,29,269,1269,TRUE,
270,NDP170245Y,IL23-3627,NDP170245Y+IL23-3627,unique_combos,Rep 0,1,270,7,30,270,1270,TRUE,
271,NDP170008G,IL23-3468,NDP170008G+IL23-3468,unique_combos,Rep 0,1,271,7,31,271,1271,TRUE,
272,ND DAWN,IL23-236,ND DAWN+IL23-236,unique_combos,Rep 0,1,272,7,32,272,1272,TRUE,
273,NDP170084G,IL22-3958,NDP170084G+IL22-3958,unique_combos,Rep 0,1,273,7,33,208,1273,FALSE,field_row
274,NDP150338Y,IL23-1617,NDP150338Y+IL23-1617,unique_combos,Rep 0,1,274,7,34,274,1274,TRUE,
275,NDP120181Y,IL23-1228,NDP120181Y+IL23-1228,unique_combos,Rep 0,1,275,7,35,275,1275,TRUE,
276,NDP250080Y,IL23-2942,NDP250080Y+IL23-2942,unique_combos,Rep 0,1,276,7,36,276,1276,TRUE,
277,NDP140510Y,IL23-4063,NDP140510Y+IL23-4063,unique_combos,Rep 0,1,277,7,37,277,1277,TRUE,
278,NDP250079Y,IL19-4556,NDP250079Y+IL19-4556,unique_combos,Rep 0,1,278,7,38,278,1278,TRUE,
279,NDP250178Y,IL23-1348,NDP250178Y+IL23-1348,unique_combos,Rep 0,1,279,7,39,279,1279,TRUE,
280,NDP170104Y,IL19-6432,NDP170104Y+IL19-6432,unique_combos,Rep 0,1,280,7,40,280,1280,TRUE,
281,NDP250061Y,IL23-723,NDP250061Y+IL23-723,unique_combos,Rep 0,1,281,8,40,281,1281,TRUE,
282,NDP250140G,IL23-3517,NDP250140G+IL23-3517,unique_combos,Rep 0,1,282,8,39,282,1282,TRUE,
283,NDP250042Y,IL23-4721,NDP250042Y+IL23-4721,unique_combos,Rep 0,1,283,8,38,283,1283,TRUE,
284,NDP250057G,IL23-1608,NDP250057G+IL23-1608,unique_combos,Rep 0,1,284,8,37,284,1284,TRUE,
285,NDP170006G,IL23-2371,NDP170006G+IL23-2371,unique_combos,Rep 0,1,285,8,36,285,1285,TRUE,
286,NDP250081Y,IL23-1115,NDP250081Y+IL23-1115,unique_combos,Rep 0,1,286,8,35,286,1286,TRUE,
287,NDP120181Y,IL22-5830,NDP120181Y+IL22-5830,unique_combos,Rep 0,1,287,8,34,287,1287,TRUE,
288,NDP250046Y,IL23-3468,NDP250046Y+IL23-3468,unique_combos,Rep 0,1,288,8,33,273,1288,FALSE,field_row
289,NDP250107G,IL23-543,NDP250107G+IL23-543,unique_combos,Rep 0,1,289,8,32,289,1289,TRUE,
290,NDP250083Y,IL23-1228,NDP250083Y+IL23-1228,unique_combos,Rep 0,1,290,8,31,290,1290,TRUE,
291,NDP160129G,IL23-1424,NDP160129G+IL23-1424,unique_combos,Rep 0,1,291,8,30,291,1291,TRUE,
292,NDP150119G,IL21-5956,NDP150119G+IL21-5956,unique_combos,Rep 0,1,292,8,29,292,1292,TRUE,
293,NDP170084G,IL23-1959,NDP170084G+IL23-1959,unique_combos,Rep 0,1,293,8,28,293,1293,TRUE,
294,NDP170006G,IL20-8320,NDP170006G+IL20-8320,unique_combos,Rep 0,1,294,8,27,294,1294,TRUE,
295,NDP250185G,IL23-669,NDP250185G+IL23-669,unique_combos,Rep 0,1,295,8,26,295,1295,TRUE,
296,NDP250187G,IL23-1209,NDP250187G+IL23-1209,across_loc,Rep 0,1,296,8,25,296,1296,TRUE,
297,NDP250041Y,IL23-739,NDP250041Y+IL23-739,within_loc,Rep 1,1,297,8,24,297,1297,TRUE,
298,NDP250136G,IL22-1423,NDP250136G+IL22-1423,unique_combos,Rep 0,1,298,8,23,298,1298,TRUE,
299,NDP250177Y,IL23-4037,NDP250177Y+IL23-4037,unique_combos,Rep 0,1,299,8,22,299,1299,TRUE,
300,NDP250153Y,IL23-1660,NDP250153Y+IL23-1660,unique_combos,Rep 0,1,300,8,21,341,1300,FALSE,field_row
301,NDP170273Y,IL23-1651,NDP170273Y+IL23-1651,unique_combos,Rep 0,1,301,8,20,301,1301,TRUE,
302,NDP160153Y,IL19-3661,NDP160153Y+IL19-3661,unique_combos,Rep 0,1,302,8,19,302,1302,TRUE,
303,NDP170328G,IL23-1206,NDP170328G+IL23-1206,within_loc,Rep 1,1,303,8,18,303,1303,TRUE,
304,NDP150070G,IL23-1358,NDP150070G+IL23-1358,unique_combos,Rep 0,1,304,8,17,304,1304,TRUE,
305,NDP250112G,IL20-618,NDP250112G+IL20-618,within_loc,Rep 2,1,305,8,16,305,1305,TRUE,
306,NDP250120G,IL22-4714,NDP250120G+IL22-4714,unique_combos,Rep 0,1,306,8,15,306,1306,TRUE,
307,NDP250158Y,IL23-3312,NDP250158Y+IL23-3312,across_loc,Rep 0,1,307,8,14,307,1307,TRUE,
308,NDP250113G,IL20-6928,NDP250113G+IL20-6928,within_loc,Rep 2,1,308,8,13,308,1308,TRUE,
309,NDP170084G,IL22-2364,NDP170084G+IL22-2364,unique_combos,Rep 0,1,309,8,12,309,1309,TRUE,
310,NDP170273Y,IL23-3731,NDP170273Y+IL23-3731,across_loc,Rep 0,1,310,8,11,310,1310,TRUE,
311,NDP250110G,IL23-4037,NDP250110G+IL23-4037,within_loc,Rep 1,1,311,8,10,311,1311,TRUE,
312,NDP250049Y,IL20-8456,NDP250049Y+IL20-8456,unique_combos,Rep 0,1,312,8,9,312,1312,TRUE,
313,NDP170336G,IL22-4169,NDP170336G+IL22-4169,unique_combos,Rep 0,1,313,8,8,313,1313,TRUE,
314,NDP250113G,IL23-2253,NDP250113G+IL23-2253,unique_combos,Rep 0,1,314,8,7,314,1314,TRUE,
315,NDP250083Y,IL23-423,NDP250083Y+IL23-423,unique_combos,Rep 0,1,315,8,6,315,1315,TRUE,
316,NDP150119G,IL23-3751,NDP150119G+IL23-3751,unique_combos,Rep 0,1,316,8,5,316,1316,TRUE,
317,NDP170252Y,IL23-1842,NDP170252Y+IL23-1842,unique_combos,Rep 0,1,317,8,4,317,1317,TRUE,
318,NDP250105G,IL23-543,NDP250105G+IL23-543,unique_combos,Rep 0,1,318,8,3,318,1318,TRUE,
319,NDP170022G,IL23-1410,NDP170022G+IL23-1410,unique_combos,Rep 0,1,319,8,2,319,1319,TRUE,
320,NDP250081Y,IL20-8320,NDP250081Y+IL20-8320,unique_combos,Rep 0,1,320,8,1,321,1320,FALSE,field_row
321,NDP250113G,IL20-6928,NDP250113G+IL20-6928,within_loc,Rep 1,1,321,9,1,400,1321,FALSE,field_row
322,NDP120181Y,IL23-612,NDP120181Y+IL23-612,within_loc,Rep 1,1,322,9,2,322,1322,TRUE,
323,NDP250163Y,IL20-5913,NDP250163Y+IL20-5913,unique_combos,Rep 0,1,323,9,3,323,1323,TRUE,
324,NDP150232Y,IL23-1623,NDP150232Y+IL23-1623,across_loc,Rep 0,1,324,9,4,324,1324,TRUE,
325,NDP170322Y,IL23-2443,NDP170322Y+IL23-2443,unique_combos,Rep 0,1,325,9,5,325,1325,TRUE,
326,NDP170054Y,IL23-1775,NDP170054Y+IL23-1775,unique_combos,Rep 0,1,326,9,6,326,1326,TRUE,
327,NDP140510Y,IL23-2625,NDP140510Y+IL23-2625,unique_combos,Rep 0,1,327,9,7,327,1327,TRUE,
328,NDP250073Y,IL23-1459,NDP250073Y+IL23-1459,unique_combos,Rep 0,1,328,9,8,328,1328,TRUE,
329,NDP250079Y,IL23-1621,NDP250079Y+IL23-1621,unique_combos,Rep 0,1,329,9,9,329,1329,TRUE,
330,NDP170054Y,IL23-2443,NDP170054Y+IL23-2443,across_loc,Rep 0,1,330,9,10,330,1330,TRUE,
331,NDP250132Y,IL23-2134,NDP250132Y+IL23-2134,unique_combos,Rep 0,1,331,9,11,331,1331,TRUE,
332,NDP150119G,IL23-415,NDP150119G+IL23-415,unique_combos,Rep 0,1,332,9,12,332,1332,TRUE,
333,NDP250076Y,IL19-7048,NDP250076Y+IL19-7048,unique_combos,Rep 0,1,333,9,13,333,1333,TRUE,
334,NDP250123Y,IL22-5365,NDP250123Y+IL22-5365,across_loc,Rep 0,1,334,9,14,334,1334,TRUE,
335,NDP250108G,IL21-4039,NDP250108G+IL21-4039,unique_combos,Rep 0,1,335,9,15,335,1335,TRUE,
336,NDP150119G,IL23-259,NDP150119G+IL23-259,unique_combos,Rep 0,1,336,9,16,336,1336,TRUE,
337,NDP250091Y,IL23-1669,NDP250091Y+IL23-1669,unique_combos,Rep 0,1,337,9,17,337,1337,TRUE,
338,NDP150070G,IL23-1348,NDP150070G+IL23-1348,unique_combos,Rep 0,1,338,9,18,338,1338,TRUE,
339,NDP250043Y,IL22-5335,NDP250043Y+IL22-5335,unique_combos,Rep 0,1,339,9,19,339,1339,TRUE,
340,NDP170101G,IL23-1621,NDP170101G+IL23-1621,unique_combos,Rep 0,1,340,9,20,340,1340,TRUE,
341,NDP170031G,IL23-1613,NDP170031G+IL23-1613,unique_combos,Rep 0,1,341,9,21,380,1341,FALSE,field_row
342,NDP250151Y,IL23-1259,NDP250151Y+IL23-1259,unique_combos,Rep 0,1,342,9,22,342,1342,TRUE,
343,NDP250145G,IL22-6264,NDP250145G+IL22-6264,unique_combos,Rep 0,1,343,9,23,343,1343,TRUE,
344,NDP250049Y,IL23-612,NDP250049Y+IL23-612,within_loc,Rep 2,1,344,9,24,344,1344,TRUE,
345,NDP250064Y,IL23-1806,NDP250064Y+IL23-1806,unique_combos,Rep 0,1,345,9,25,345,1345,TRUE,
346,ND VICTORY,IL21-7822,ND VICTORY+IL21-7822,across_loc,Rep 0,1,346,9,26,346,1346,TRUE,
347,NDP250027G,IL23-1663,NDP250027G+IL23-1663,unique_combos,Rep 0,1,347,9,27,347,1347,TRUE,
348,NDP250081Y,IL23-2963,NDP250081Y+IL23-2963,unique_combos,Rep 0,1,348,9,28,348,1348,TRUE,
349,NDP250043Y,IL22-3146,NDP250043Y+IL22-3146,unique_combos,Rep 0,1,349,9,29,349,1349,TRUE,
350,NDP170001G,IL23-4543,NDP170001G+IL23-4543,unique_combos,Rep 0,1,350,9,30,350,1350,TRUE,
351,NDP250118G,IL23-1669,NDP250118G+IL23-1669,unique_combos,Rep 0,1,351,9,31,351,1351,TRUE,
352,NDP170273Y,IL23-3842,NDP170273Y+IL23-3842,across_loc,Rep 0,1,352,9,32,352,1352,TRUE,
353,NDP170247Y,IL23-4253,NDP170247Y+IL23-4253,unique_combos,Rep 0,1,353,9,33,288,1353,FALSE,field_row
354,NDP170328G,IL23-524,NDP170328G+IL23-524,within_loc,Rep 0,1,354,9,34,354,1354,TRUE,replaced oat
355,NDP170011G,IL23-1669,NDP170011G+IL23-1669,unique_combos,Rep 0,1,355,9,35,355,1355,TRUE,
356,NDP250054G,IL23-524,NDP250054G+IL23-524,unique_combos,Rep 0,1,356,9,36,356,1356,TRUE,
357,NDP170056G,IL23-251,NDP170056G+IL23-251,within_loc,Rep 2,1,357,9,37,357,1357,TRUE,
358,NDP250109G,IL23-558,NDP250109G+IL23-558,across_loc,Rep 0,1,358,9,38,358,1358,TRUE,
359,NDP250184G,IL22-3365,NDP250184G+IL22-3365,unique_combos,Rep 0,1,359,9,39,359,1359,TRUE,
360,NDP170101G,IL23-250,NDP170101G+IL23-250,across_loc,Rep 0,1,360,9,40,360,1360,TRUE,
361,NDP250079Y,IL23-1228,NDP250079Y+IL23-1228,unique_combos,Rep 0,1,361,10,40,361,1361,TRUE,
362,NDP250167Y,IL22-4459,NDP250167Y+IL22-4459,unique_combos,Rep 0,1,362,10,39,362,1362,TRUE,
363,NDP170054Y,IL21-7653,NDP170054Y+IL21-7653,unique_combos,Rep 0,1,363,10,38,363,1363,TRUE,
364,NDP170245Y,IL23-1650,NDP170245Y+IL23-1650,unique_combos,Rep 0,1,364,10,37,364,1364,TRUE,
365,NDP250161Y,IL23-1815,NDP250161Y+IL23-1815,unique_combos,Rep 0,1,365,10,36,365,1365,TRUE,
366,NDP170039G,IL15-2064,NDP170039G+IL15-2064,unique_combos,Rep 0,1,366,10,35,366,1366,TRUE,
367,NDP150223G,IL23-423,NDP150223G+IL23-423,unique_combos,Rep 0,1,367,10,34,367,1367,TRUE,
368,NDP250172Y,IL23-4469,NDP250172Y+IL23-4469,across_loc,Rep 0,1,368,10,33,353,1368,FALSE,field_row
369,NDP170247Y,IL21-5917,NDP170247Y+IL21-5917,unique_combos,Rep 0,1,369,10,32,369,1369,TRUE,
370,NDP250167Y,IL23-1660,NDP250167Y+IL23-1660,unique_combos,Rep 0,1,370,10,31,370,1370,TRUE,
371,NDP250060Y,IL23-1410,NDP250060Y+IL23-1410,unique_combos,Rep 0,1,371,10,30,371,1371,TRUE,
372,NDP170336G,IL23-1815,NDP170336G+IL23-1815,across_loc,Rep 0,1,372,10,29,372,1372,TRUE,
373,NDP250047Y,IL23-1610,NDP250047Y+IL23-1610,unique_combos,Rep 0,1,373,10,28,373,1373,TRUE,
374,NDP150223G,IL23-236,NDP150223G+IL23-236,unique_combos,Rep 0,1,374,10,27,374,1374,TRUE,
375,NDP250041Y,IL23-739,NDP250041Y+IL23-739,within_loc,Rep 2,1,375,10,26,375,1375,TRUE,
376,NDP250054G,IL23-4547,NDP250054G+IL23-4547,unique_combos,Rep 0,1,376,10,25,376,1376,TRUE,
377,NDP150412G,IL22-4714,NDP150412G+IL22-4714,unique_combos,Rep 0,1,377,10,24,377,1377,TRUE,
378,NDP250074Y,IL23-2021,NDP250074Y+IL23-2021,unique_combos,Rep 0,1,378,10,23,378,1378,TRUE,
379,NDP160034Y,IL23-2956,NDP160034Y+IL23-2956,unique_combos,Rep 0,1,379,10,22,379,1379,TRUE,
380,NDP250161Y,IL21-753,NDP250161Y+IL21-753,unique_combos,Rep 0,1,380,10,21,261,1380,FALSE,field_row
381,NDP250033Y,IL23-875,NDP250033Y+IL23-875,unique_combos,Rep 0,1,381,10,20,381,1381,TRUE,
382,NDP121714R,IL23-4835,NDP121714R+IL23-4835,unique_combos,Rep 0,1,382,10,19,382,1382,TRUE,
383,NDP250032Y,IL23-1842,NDP250032Y+IL23-1842,unique_combos,Rep 0,1,383,10,18,383,1383,TRUE,
384,NDP250101Y,IL23-512,NDP250101Y+IL23-512,within_loc,Rep 2,1,384,10,17,384,1384,TRUE,
385,NDP150338Y,IL23-247,NDP150338Y+IL23-247,unique_combos,Rep 0,1,385,10,16,385,1385,TRUE,
386,NDP250097Y,IL23-1410,NDP250097Y+IL23-1410,unique_combos,Rep 0,1,386,10,15,386,1386,TRUE,
387,NDP250152Y,IL23-4079,NDP250152Y+IL23-4079,unique_combos,Rep 0,1,387,10,14,387,1387,TRUE,
388,NDP170099G,IL23-923,NDP170099G+IL23-923,unique_combos,Rep 0,1,388,10,13,388,1388,TRUE,
389,NDP160129G,IL23-913,NDP160129G+IL23-913,unique_combos,Rep 0,1,389,10,12,389,1389,TRUE,
390,NDP250072Y,IL23-971,NDP250072Y+IL23-971,unique_combos,Rep 0,1,390,10,11,390,1390,TRUE,
391,NDP170336G,IL21-8143,NDP170336G+IL21-8143,unique_combos,Rep 0,1,391,10,10,391,1391,TRUE,
392,NDP250048Y,IL23-875,NDP250048Y+IL23-875,unique_combos,Rep 0,1,392,10,9,392,1392,TRUE,
393,NDP250173Y,IL19-6345,NDP250173Y+IL19-6345,unique_combos,Rep 0,1,393,10,8,393,1393,TRUE,
394,NDP250042Y,IL23-4252,NDP250042Y+IL23-4252,within_loc,Rep 1,1,394,10,7,394,1394,TRUE,
395,NDP250065Y,IL23-3675,NDP250065Y+IL23-3675,unique_combos,Rep 0,1,395,10,6,395,1395,TRUE,
396,NDP250111G,IL19-4877,NDP250111G+IL19-4877,unique_combos,Rep 0,1,396,10,5,396,1396,TRUE,
397,NDP250032Y,IL23-3565,NDP250032Y+IL23-3565,unique_combos,Rep 0,1,397,10,4,397,1397,TRUE,
398,NDP250083Y,IL17-3125,NDP250083Y+IL17-3125,unique_combos,Rep 0,1,398,10,3,398,1398,TRUE,
399,NDP170183Y,IL23-1644,NDP170183Y+IL23-1644,across_loc,Rep 0,1,399,10,2,399,1399,TRUE,
400,NDP250083Y,IL23-260,NDP250083Y+IL23-260,unique_combos,Rep 0,1,400,10,1,161,1400,FALSE,field_row
