sn,Pea,Oat,combo2,category,Replication,Location,Present on field PlotNumber,Row,Column,original on T3 PlotNumber,plot_number,changed,type of change
107,NDP250099Y,IL23-1556,NDP250099Y+IL23-1556,unique_combos,Rep 0,1,107,3,27,107,1107,TRUE,
108,NDP250037Y,IL23-2458,NDP250037Y+IL23-2458,unique_combos,Rep 0,1,108,3,28,108,1108,TRUE,
109,NDP140295G,IL23-2246,NDP140295G+IL23-2246,within_loc,Rep 1,1,109,3,29,109,1109,TRUE,
110,NDP250091Y,IL23-1660,NDP250091Y+IL23-1660,unique_combos,Rep 0,1,110,3,30,110,1110,TRUE,
111,NDP250149G,IL23-4722,NDP250149G+IL23-4722,across_loc,Rep 0,1,111,3,31,111,1111,TRUE,
112,NDP250062Y,IL23-1409,NDP250062Y+IL23-1409,unique_combos,Rep 0,1,112,3,32,112,1112,TRUE,
113,NDP250086Y,IL19-6345,NDP250086Y+IL19-6345,unique_combos,Rep 0,1,113,3,33,48,1113,FALSE,field_row
114,NDP170110Y,IL23-4243,NDP170110Y+IL23-4243,unique_combos,Rep 0,1,114,3,34,114,1114,TRUE,
115,NDP250072Y,IL23-1459,NDP250072Y+IL23-1459,unique_combos,Rep 0,1,115,3,35,115,1115,TRUE,
116,NDP120181Y,IL23-251,NDP120181Y+IL23-251,unique_combos,Rep 0,1,116,3,36,116,1116,TRUE,
117,NDP250057G,IL23-3335,NDP250057G+IL23-3335,unique_combos,Rep 0,1,117,3,37,117,1117,TRUE,
118,NDP170039G,IL22-4548,NDP170039G+IL22-4548,unique_combos,Rep 0,1,118,3,38,118,1118,TRUE,
119,NDP250055G,IL23-2751,NDP250055G+IL23-2751,across_loc,Rep 0,1,119,3,39,119,1119,TRUE,
120,NDP250101Y,IL23-512,NDP250101Y+IL23-512,within_loc,Rep 1,1,120,3,40,120,1120,TRUE,
121,NDP250122Y,IL22-4325,NDP250122Y+IL22-4325,unique_combos,Rep 0,1,121,4,40,121,1121,TRUE,
122,NDP170177Y,IL23-621,NDP170177Y+IL23-621,across_loc,Rep 0,1,122,4,39,122,1122,TRUE,
123,NDP250119G,IL23-907,NDP250119G+IL23-907,unique_combos,Rep 0,1,123,4,38,123,1123,TRUE,
124,NDP250149G,IL23-3738,NDP250149G+IL23-3738,unique_combos,Rep 0,1,124,4,37,124,1124,TRUE,
125,NDP250118G,IL23-3823,NDP250118G+IL23-3823,unique_combos,Rep 0,1,125,4,36,125,1125,TRUE,
126,NDP170056G,IL23-1660,NDP170056G+IL23-1660,unique_combos,Rep 0,1,126,4,35,126,1126,TRUE,
127,NDP170094Y,IL23-4252,NDP170094Y+IL23-4252,unique_combos,Rep 0,1,127,4,34,127,1127,TRUE,
128,NDP250142G,IL23-4835,NDP250142G+IL23-4835,unique_combos,Rep 0,1,128,4,33,113,1128,FALSE,field_row
129,NDP250097Y,IL23-4835,NDP250097Y+IL23-4835,unique_combos,Rep 0,1,129,4,32,129,1129,TRUE,
130,NDP250122Y,IL19-6345,NDP250122Y+IL19-6345,unique_combos,Rep 0,1,130,4,31,130,1130,TRUE,
131,NDP250031Y,IL23-3565,NDP250031Y+IL23-3565,unique_combos,Rep 0,1,131,4,30,131,1131,TRUE,
132,NDP170161Y,IL23-2554,NDP170161Y+IL23-2554,unique_combos,Rep 0,1,132,4,29,132,1132,TRUE,
133,NDP250175Y,IL19-7063,NDP250175Y+IL19-7063,unique_combos,Rep 0,1,133,4,28,133,1133,TRUE,
