subplot_name,subplot_id,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,subplot_number,"Pea Plant Height - cm|timepoint 1			|COMP:0000122","Plant height - cm|timepoint 1			|COMP:0000114","Pea Plant Establishment - plants/ft2			|CO_xxx:0003011","Plant establishment - plants/ft2			|CO_350:0005124","Plant height - cm|timepoint 2			|COMP:0000115","Pea Plant Height - cm|timepoint 2			|COMP:0000123"
B4I_2025_PM3D_AL_405_subplot_2,738006,B4I_2025_PM3D_AL_405,ND190393,405,1,,1,3,2,2,19,22,8,24,78,45
B4I_2025_PM3D_AL_405_subplot_3,738007,B4I_2025_PM3D_AL_405,ND190393,405,1,,1,3,2,3,18,24,8,28,70,55
B4I_2025_PM3D_AL_406_subplot_1,738032,B4I_2025_PM3D_AL_406,ND210038,406,1,,1,3,1,1,15,27,8,12,104,40
B4I_2025_PM3D_AL_406_subplot_2,738033,B4I_2025_PM3D_AL_406,ND210038,406,1,,1,3,1,2,22,27,5,27,100,49
B4I_2025_PM3D_AL_406_subplot_3,738034,B4I_2025_PM3D_AL_406,ND210038,406,1,,1,3,1,3,16,25,9,28,97,46
B4I_2025_PM3D_AL_407_subplot_1,738014,B4I_2025_PM3D_AL_407,SD Momentum,407,1,,1,4,1,1,19,25,8,18,86,45
B4I_2025_PM3D_AL_407_subplot_2,738015,B4I_2025_PM3D_AL_407,SD Momentum,407,1,,1,4,1,2,20,26,11,14,81,41
B4I_2025_PM3D_AL_407_subplot_3,738016,B4I_2025_PM3D_AL_407,SD Momentum,407,1,,1,4,1,3,19,31,11,18,82,42
B4I_2025_PM3D_AL_408_subplot_1,738002,B4I_2025_PM3D_AL_408,NO_OATS_PLANTED,408,1,,1,4,2,1,20,,9,,,45
B4I_2025_PM3D_AL_408_subplot_2,738003,B4I_2025_PM3D_AL_408,NO_OATS_PLANTED,408,1,,1,4,2,2,21,,10,,,46
B4I_2025_PM3D_AL_408_subplot_3,738004,B4I_2025_PM3D_AL_408,NO_OATS_PLANTED,408,1,,1,4,2,3,21,,8,,,47
B4I_2025_PM3D_AL_409_subplot_1,738017,B4I_2025_PM3D_AL_409,ND210038,409,1,,1,5,2,1,18,26,5,30,100,60
B4I_2025_PM3D_AL_409_subplot_2,738018,B4I_2025_PM3D_AL_409,ND210038,409,1,,1,5,2,2,17,22,6,28,100,66
B4I_2025_PM3D_AL_409_subplot_3,738019,B4I_2025_PM3D_AL_409,ND210038,409,1,,1,5,2,3,14,29,4,31,99,50
B4I_2025_PM3D_AL_410_subplot_1,738047,B4I_2025_PM3D_AL_410,ND190393,410,1,,1,5,1,1,17,22,3,23,76,38
B4I_2025_PM3D_AL_410_subplot_2,738048,B4I_2025_PM3D_AL_410,ND190393,410,1,,1,5,1,2,18,20,4,26,77,38
B4I_2025_PM3D_AL_410_subplot_3,738049,B4I_2025_PM3D_AL_410,ND190393,410,1,,1,5,1,3,15,27,3,29,64,42
B4I_2025_PM3D_AL_411_subplot_1,737999,B4I_2025_PM3D_AL_411,NO_OATS_PLANTED,411,1,,1,6,1,1,8,,12,,,35
B4I_2025_PM3D_AL_411_subplot_2,738000,B4I_2025_PM3D_AL_411,NO_OATS_PLANTED,411,1,,1,6,1,2,18,,9,,,40
B4I_2025_PM3D_AL_411_subplot_3,738001,B4I_2025_PM3D_AL_411,NO_OATS_PLANTED,411,1,,1,6,1,3,14,,10,,,45
B4I_2025_PM3D_AL_412_subplot_1,737996,B4I_2025_PM3D_AL_412,IL17-1704,412,1,,1,6,2,1,,30,,32,82,
B4I_2025_PM3D_AL_412_subplot_2,737997,B4I_2025_PM3D_AL_412,IL17-1704,412,1,,1,6,2,2,,26,,39,83,
B4I_2025_PM3D_AL_412_subplot_3,737998,B4I_2025_PM3D_AL_412,IL17-1704,412,1,,1,6,2,3,,29,,35,88,
B4I_2025_PM3D_AL_413_subplot_1,738044,B4I_2025_PM3D_AL_413,IL17-1704,413,1,,1,7,2,1,21,22,5,30,80,38
B4I_2025_PM3D_AL_413_subplot_2,738045,B4I_2025_PM3D_AL_413,IL17-1704,413,1,,1,7,2,2,18,29,6,28,89,34
B4I_2025_PM3D_AL_413_subplot_3,738046,B4I_2025_PM3D_AL_413,IL17-1704,413,1,,1,7,2,3,21,27,8,31,85,43
B4I_2025_PM3D_AL_414_subplot_1,738050,B4I_2025_PM3D_AL_414,ND Spilde,414,1,,1,7,1,1,11,27,2,30,84,30
B4I_2025_PM3D_AL_414_subplot_2,738051,B4I_2025_PM3D_AL_414,ND Spilde,414,1,,1,7,1,2,10,23,6,28,82,32
B4I_2025_PM3D_AL_414_subplot_3,738052,B4I_2025_PM3D_AL_414,ND Spilde,414,1,,1,7,1,3,15,22,3,32,77,40
B4I_2025_PM3D_AL_415_subplot_1,738035,B4I_2025_PM3D_AL_415,ND190393,415,1,,1,8,1,1,,23,,25,59,
B4I_2025_PM3D_AL_415_subplot_2,738036,B4I_2025_PM3D_AL_415,ND190393,415,1,,1,8,1,2,,22,,27,60,
B4I_2025_PM3D_AL_415_subplot_3,738037,B4I_2025_PM3D_AL_415,ND190393,415,1,,1,8,1,3,,28,,24,68,
B4I_2025_PM3D_AL_416_subplot_1,738008,B4I_2025_PM3D_AL_416,NO_OATS_PLANTED,416,1,,1,8,2,1,23,,12,,,39
B4I_2025_PM3D_AL_416_subplot_2,738009,B4I_2025_PM3D_AL_416,NO_OATS_PLANTED,416,1,,1,8,2,2,15,,10,,,49
B4I_2025_PM3D_AL_416_subplot_3,738010,B4I_2025_PM3D_AL_416,NO_OATS_PLANTED,416,1,,1,8,2,3,25,,13,,,44
B4I_2025_PM3D_AL_417_subplot_1,738041,B4I_2025_PM3D_AL_417,ND Spilde,417,1,,1,9,2,1,10,23,6,27,84,34
B4I_2025_PM3D_AL_417_subplot_2,738042,B4I_2025_PM3D_AL_417,ND Spilde,417,1,,1,9,2,2,12,21,4,21,88,40
B4I_2025_PM3D_AL_417_subplot_3,738043,B4I_2025_PM3D_AL_417,ND Spilde,417,1,,1,9,2,3,10,25,5,29,99,35
B4I_2025_PM3D_AL_418_subplot_1,738023,B4I_2025_PM3D_AL_418,ND210038,418,1,,1,9,1,1,,25,,44,98,
B4I_2025_PM3D_AL_418_subplot_2,738024,B4I_2025_PM3D_AL_418,ND210038,418,1,,1,9,1,2,,22,,39,90,
B4I_2025_PM3D_AL_418_subplot_3,738025,B4I_2025_PM3D_AL_418,ND210038,418,1,,1,9,1,3,,23,,40,98,
B4I_2025_PM3D_AL_419_subplot_1,738053,B4I_2025_PM3D_AL_419,IL17-1704,419,1,,1,10,1,1,17,30,3,17,88,37
B4I_2025_PM3D_AL_419_subplot_2,738054,B4I_2025_PM3D_AL_419,IL17-1704,419,1,,1,10,1,2,12,27,5,13,87,35
B4I_2025_PM3D_AL_419_subplot_3,738055,B4I_2025_PM3D_AL_419,IL17-1704,419,1,,1,10,1,3,12,25,5,16,90,37
B4I_2025_PM3D_AL_420_subplot_1,738038,B4I_2025_PM3D_AL_420,NO_OATS_PLANTED,420,1,,1,10,2,1,15,,9,,,49
B4I_2025_PM3D_AL_420_subplot_2,738039,B4I_2025_PM3D_AL_420,NO_OATS_PLANTED,420,1,,1,10,2,2,13,,13,,,51
B4I_2025_PM3D_AL_420_subplot_3,738040,B4I_2025_PM3D_AL_420,NO_OATS_PLANTED,420,1,,1,10,2,3,14,,8,,,52
