"source","PlotNo","oatName","peaName"
"peaE 202   plots 3","132","IL23-957 oatE 126","NDP170037G"
"peaE 203   plots 3","070","IL23-1644 oatE 173","NDP170039G"
"peaE 203   plots 3","314","IL23-906 oatE 118","NDP170039G"
"peaE 203   plots 3","387","IL23-923 oatE 122","NDP170039G"
"peaE 204   plots 3","295","IL19-7048 oatE 19","NDP170043G"
"peaE 204   plots 3","338","IL23-875 oatE 117","NDP170043G"
"peaE 204   plots 3","391","IL23-1423 oatE 151","NDP170043G"
"peaE 213   plots 3","153","IL21-4011 oatE 36","NDP170101G"
"peaE 213   plots 3","311","IL23-250 oatE 83","NDP170101G"
"peaE 213   plots 3","345","IL20-746 oatE 25","NDP170101G"
"peaE 221   plots 3","109","IL20-7727 oatE 29","NDP170161Y"
"peaE 221   plots 3","324","IL23-236 oatE 81","NDP170161Y"
"peaE 221   plots 3","386","IL23-1619 oatE 166","NDP170161Y"
"peaE 229   plots 3","054","IL23-1228 oatE 139","NDP170202Y"
"peaE 229   plots 3","099","IL22-4459 oatE 72","NDP170202Y"
"peaE 229   plots 3","207","IL20-746 oatE 25","NDP170202Y"
"peaE 237   plots 3","086","IL23-271 oatE 89","NDP170328G"
"peaE 237   plots 3","198","IL23-1617 oatE 165","NDP170328G"
"peaE 237   plots 3","342","IL23-260 oatE 86","NDP170328G"
"peaE 27   plots 4","044","IL22-1019 oatE 52","NDP250053G"
"peaE 27   plots 4","077","IL22-3146 oatE 63","NDP250053G"
"peaE 27   plots 4","098","IL23-1409 oatE 145","NDP250053G"
"peaE 27   plots 4","173","IL23-963 oatE 128","NDP250053G"
"peaE 43   plots 4","009","IL21-4011 oatE 36","NDP250069Y"
"peaE 43   plots 4","110","IL23-1775 oatE 186","NDP250069Y"
"peaE 43   plots 4","224","IL19-6432 oatE 17","NDP250069Y"
"peaE 43   plots 4","389","IL19-5467 oatE 14","NDP250069Y"
"peaE 105   plots 4","006","IL23-3842 oatE 249","NDP250131Y"
"peaE 105   plots 4","010","IL21-4020 oatE 37","NDP250131Y"
"peaE 105   plots 4","120","IL23-1619 oatE 166","NDP250131Y"
"peaE 105   plots 4","256","IL21-4020 oatE 37","NDP250131Y"
"peaE 109   plots 4","170","IL23-4722 oatE 278","NDP250135Y"
"peaE 109   plots 4","191","IL23-1129 oatE 133","NDP250135Y"
"peaE 109   plots 4","228","IL23-259 oatE 85","NDP250135Y"
"peaE 109   plots 4","296","IL19-6406 oatE 16","NDP250135Y"
"peaE 124   plots 4","192","IL19-6432 oatE 17","NDP250150G"
"peaE 124   plots 4","248","IL17-3125 oatE 3","NDP250150G"
"peaE 124   plots 4","312","IL22-5365 oatE 77","NDP250150G"
"peaE 124   plots 4","359","IL23-236 oatE 81","NDP250150G"
"peaE 138   plots 4","018","IL22-2850 oatE 61","NDP250164Y"
"peaE 138   plots 4","075","IL23-512 oatE 101","NDP250164Y"
"peaE 138   plots 4","160","IL21-8143 oatE 49","NDP250164Y"
"peaE 138   plots 4","299","IL23-2458 oatE 205","NDP250164Y"
"peaE 164   plots 4","204","IL23-1753 oatE 184","ND DAWN"
"peaE 164   plots 4","227","IL23-1422 oatE 150","ND DAWN"
"peaE 164   plots 4","287","IL23-2235 oatE 200","ND DAWN"
"peaE 164   plots 4","373","IL23-475 oatE 99","ND DAWN"
"peaE 165   plots 4","056","IL23-1608 oatE 161","ND VICTORY"
"peaE 165   plots 4","137","IL21-7822 oatE 48","ND VICTORY"
"peaE 165   plots 4","141","IL22-2362 oatE 58","ND VICTORY"
"peaE 165   plots 4","147","IL20-1037 oatE 26","ND VICTORY"
"peaE 186   plots 4","035","IL23-415 oatE 93","NDP150476G"
"peaE 186   plots 4","188","IL23-2134 oatE 198","NDP150476G"
"peaE 186   plots 4","276","IL21-4011 oatE 36","NDP150476G"
"peaE 186   plots 4","301","IL23-669 oatE 111","NDP150476G"
"peaE 211   plots 4","057","IL23-1666 oatE 181","NDP170094Y"
"peaE 211   plots 4","122","IL22-948 oatE 51","NDP170094Y"
"peaE 211   plots 4","323","IL21-6116 oatE 45","NDP170094Y"
"peaE 211   plots 4","368","IL23-1409 oatE 145","NDP170094Y"
"peaE 214   plots 4","038","IL21-5955 oatE 43","NDP170104Y"
"peaE 214   plots 4","218","IL23-1414 oatE 148","NDP170104Y"
"peaE 214   plots 4","261","IL23-4718 oatE 276","NDP170104Y"
"peaE 214   plots 4","357","IL21-5917 oatE 42","NDP170104Y"
"peaE 218   plots 4","072","IL21-753 oatE 34","NDP170151Y"
"peaE 218   plots 4","199","IL23-1621 oatE 167","NDP170151Y"
"peaE 218   plots 4","280","IL23-1619 oatE 166","NDP170151Y"
"peaE 218   plots 4","292","IL23-1364 oatE 144","NDP170151Y"
"peaE 220   plots 4","104","IL20-6928 oatE 28","NDP170156Y"
"peaE 220   plots 4","145","IL23-963 oatE 128","NDP170156Y"
"peaE 220   plots 4","316","IL20-5913 oatE 27","NDP170156Y"
"peaE 220   plots 4","364","IL20-6928 oatE 28","NDP170156Y"
"peaE 235   plots 4","036","IL23-3842 oatE 249","NDP170273Y"
"peaE 235   plots 4","196","IL23-4547 oatE 271","NDP170273Y"
"peaE 235   plots 4","317","IL20-8456 oatE 33","NDP170273Y"
"peaE 235   plots 4","396","IL23-3731 oatE 238","NDP170273Y"
"peaE 51   plots 5","158","IL21-7653 oatE 47","NDP250077Y"
"peaE 51   plots 5","232","IL22-4169 oatE 68","NDP250077Y"
"peaE 51   plots 5","237","IL23-1806 oatE 187","NDP250077Y"
"peaE 51   plots 5","241","IL23-2954 oatE 211","NDP250077Y"
"peaE 51   plots 5","383","IL22-4169 oatE 68","NDP250077Y"
"peaE 63   plots 5","073","IL23-377 oatE 92","NDP250089Y"
"peaE 63   plots 5","101","IL21-8143 oatE 49","NDP250089Y"
"peaE 63   plots 5","277","IL23-1669 oatE 183","NDP250089Y"
"peaE 63   plots 5","288","IL23-524 oatE 102","NDP250089Y"
"peaE 63   plots 5","335","IL20-8446 oatE 32","NDP250089Y"
"peaE 179   plots 5","005","IL23-1619 oatE 166","NDP150221G"
"peaE 179   plots 5","042","IL21-4020 oatE 37","NDP150221G"
"peaE 179   plots 5","219","IL23-1421 oatE 149","NDP150221G"
"peaE 179   plots 5","225","IL23-971 oatE 130","NDP150221G"
"peaE 179   plots 5","327","IL21-4020 oatE 37","NDP150221G"
"peaE 210   plots 5","089","IL23-1209 oatE 137","NDP170089G"
"peaE 210   plots 5","136","IL23-2458 oatE 205","NDP170089G"
"peaE 210   plots 5","154","IL22-4325 oatE 70","NDP170089G"
"peaE 210   plots 5","167","IL23-3823 oatE 243","NDP170089G"
"peaE 210   plots 5","226","IL23-1163 oatE 134","NDP170089G"
"peaE 224   plots 5","125","IL23-4274 oatE 264","NDP170182Y"
"peaE 224   plots 5","138","IL22-6261 oatE 79","NDP170182Y"
"peaE 224   plots 5","290","IL23-3312 oatE 215","NDP170182Y"
"peaE 224   plots 5","320","IL23-965 oatE 129","NDP170182Y"
"peaE 224   plots 5","332","IL23-4572 oatE 274","NDP170182Y"
"peaE 225   plots 5","063","IL23-1644 oatE 173","NDP170183Y"
"peaE 225   plots 5","222","IL23-1668 oatE 182","NDP170183Y"
"peaE 225   plots 5","336","IL23-1669 oatE 183","NDP170183Y"
"peaE 225   plots 5","377","IL23-951 oatE 125","NDP170183Y"
"peaE 225   plots 5","398","IL22-3958 oatE 66","NDP170183Y"
"peaE 58   plots 6","061","IL21-4020 oatE 37","NDP250084Y"
"peaE 58   plots 6","078","IL20-8320 oatE 31","NDP250084Y"
"peaE 58   plots 6","165","IL23-3838 oatE 248","NDP250084Y"
"peaE 58   plots 6","200","IL23-259 oatE 85","NDP250084Y"
"peaE 58   plots 6","202","IL23-723 oatE 112","NDP250084Y"
