plot_name	row_number	col_number
B4I_2025_AL_1333	9	13
B4I_2025_AL_1334	9	14
B4I_2025_AL_1335	9	15
B4I_2025_AL_1336	9	16
B4I_2025_AL_1337	9	17
B4I_2025_AL_1338	9	18
B4I_2025_AL_1339	9	19
B4I_2025_AL_1340	9	20
B4I_2025_AL_1341	8	21
B4I_2025_AL_1342	9	22
B4I_2025_AL_1343	9	23
B4I_2025_AL_1344	9	24
B4I_2025_AL_1345	9	25
B4I_2025_AL_1346	9	26
B4I_2025_AL_1347	9	27
B4I_2025_AL_1348	9	28
B4I_2025_AL_1349	9	29
B4I_2025_AL_1350	9	30
B4I_2025_AL_1351	9	31
B4I_2025_AL_1352	9	32
B4I_2025_AL_1353	10	33
B4I_2025_AL_1354	9	34
B4I_2025_AL_1355	9	35
B4I_2025_AL_1356	9	36
B4I_2025_AL_1357	9	37
B4I_2025_AL_1358	9	38
B4I_2025_AL_1359	9	39
B4I_2025_AL_1360	9	40
B4I_2025_AL_1361	10	40
B4I_2025_AL_1362	10	39
B4I_2025_AL_1363	10	38
B4I_2025_AL_1364	10	37
B4I_2025_AL_1365	10	36
B4I_2025_AL_1366	10	35
B4I_2025_AL_1367	10	34
B4I_2025_AL_1368	2	33
B4I_2025_AL_1369	10	32
B4I_2025_AL_1370	10	31
B4I_2025_AL_1371	10	30
B4I_2025_AL_1372	10	29
B4I_2025_AL_1373	10	28
B4I_2025_AL_1374	10	27
B4I_2025_AL_1375	10	26
B4I_2025_AL_1376	10	25
B4I_2025_AL_1377	10	24
B4I_2025_AL_1378	10	23
B4I_2025_AL_1379	10	22
B4I_2025_AL_1380	9	21
B4I_2025_AL_1381	10	20
B4I_2025_AL_1382	10	19
B4I_2025_AL_1383	10	18
B4I_2025_AL_1384	10	17
B4I_2025_AL_1385	10	16
B4I_2025_AL_1386	10	15
B4I_2025_AL_1387	10	14
B4I_2025_AL_1388	10	13
B4I_2025_AL_1389	10	12
B4I_2025_AL_1390	10	11
B4I_2025_AL_1391	10	10
B4I_2025_AL_1392	10	9
B4I_2025_AL_1393	10	8
B4I_2025_AL_1394	10	7
B4I_2025_AL_1395	10	6
B4I_2025_AL_1396	10	5
B4I_2025_AL_1397	10	4
B4I_2025_AL_1398	10	3
B4I_2025_AL_1399	10	2
B4I_2025_AL_1400	9	1
B4I_2025_IA_2001	NA	NA
B4I_2025_IA_2002	NA	NA
B4I_2025_IA_2003	NA	NA
B4I_2025_IA_2004	NA	NA
B4I_2025_IA_2005	NA	NA
B4I_2025_IA_2006	NA	NA
B4I_2025_IA_2007	NA	NA
B4I_2025_IA_2008	NA	NA
B4I_2025_IA_2009	NA	NA
B4I_2025_IA_2010	NA	NA
B4I_2025_IA_2011	NA	NA
