"trial_name","breeding_program","location","year","design_type","description","trial_type","plot_width","plot_length","field_size","planting_date","harvest_date","plot_name","accession_name","plot_number","block_number","is_a_control","rep_number","range_number","row_number","col_number","seedlot_name","num_seed_per_plot","weight_gram_seed_per_plot","entry_number","is_private","intercrop_accession_name","Plant establishment - plants/ft2|CO_350:0005124","Pea Plant Establishment - plants/ft2|CO_xxx:0003011","Plant height - cm|timepoint 1|COMP:0000114","Plant height - cm|timepoint 2|COMP:0000115","Plant height - cm|timepoint 3|COMP:0000116","Plant height - cm|timepoint 4|COMP:0000117","Pea Plant Height - cm|timepoint 1|COMP:0000122","Pea Plant Height - cm|timepoint 2|COMP:0000123","Pea Plant Height - cm|timepoint 3|COMP:0000124","Pea Plant Height - cm|timepoint 4|COMP:0000125","Above ground dry biomass - g|timepoint 1|COMP:0000110","Above ground dry biomass - g|timepoint 2|COMP:0000111","Above ground dry biomass - g|timepoint 3|COMP:0000112","Pea Aboveground Dry Biomass - g|timepoint 1|COMP:0000118","Pea Aboveground Dry Biomass - g|timepoint 2|COMP:0000119","Pea Aboveground Dry Biomass - g|timepoint 3|COMP:0000120","Weed above ground dry biomass - g|timepoint 1|COMP:0000126","Weed above ground dry biomass - g|timepoint 2|COMP:0000127","Weed above ground dry biomass - g|timepoint 3|COMP:0000128","Heading date - Julian day|CO_350:0000270","Pea Flowering Date - 10% - Julian Day|CO_xxx:0003014","Maturity date - Julian day|CO_350:0000271","Pea Maturity Date - Julian Day|CO_xxx:0003015","Lodging severity - 0-9 Rating|CO_350:0005007","Lodging incidence - percent|CO_350:0000165","Total grain moisture content - percent|CO_350:xxx","Total grain weight - g|CO_350:xxx","Total grain yield - g/m2|CO_350:xxx","Total test weight - g/L|CO_350:xxx","Grain weight - g|CO_350:0005123","Pea Grain Weight - g|CO_xxx:0003006","Grain yield - g/m2|CO_350:0000260","Pea Grain Yield - g/m2|CO_xxx:0003008","Test weight - g/L|CO_350:0000259","Pea Test Weight - g/L|CO_xxx:0003016","Thousand grain weight - g|CO_350:0000251","Pea Thousand Grain Weight - g|CO_xxx:0003017","note"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_121","IL23-3730",121,1,NA,1,1,1,21,NA,NA,24,NA,NA,"NDP170161Y",23,5,39,65,83.82,NA,38,59,66.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,150,175,174,1,2,13.9,2326.92696,455.896808,415.3475,1919.99615,356.9992842,375.7331019,69.86287363,456.657164,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_122","IL23-4039",122,1,NA,1,1,1,22,NA,NA,24,NA,NA,"NDP250074Y",9,8,37,67,88.9,NA,33,44,45.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,153,176,177,0,0,15.7,2100.13096,402.8604194,426.935,1666.996658,317.9993624,326.2224379,62.23079499,447.8583747,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_123","IL21-4020",123,1,NA,1,1,1,23,NA,NA,24,NA,NA,"NDP250144G",22,3,42,67,76.2,NA,39,52,66.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,150,173,177,3,5,15.7,2290.6396,439.4049931,476.76125,1627.996736,582.9988311,318.5903593,114.0897908,457.5370429,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_124","IL23-911",124,1,NA,1,1,1,24,NA,NA,24,NA,NA,"NDP120083Y",17,8,37,64,86.36,NA,35,41,50.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,150,176,174,3,5,15.7,2258.88816,433.3142308,442.6425,1774.996441,442.9991118,347.3574249,86.69258548,445.2187379,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_125","IL23-558",125,1,NA,1,1,1,25,NA,NA,24,NA,NA,"NDP250109G",24,8,42,63,91.44,NA,34,46,50.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,151,175,176,1,2,14.6,2390.42984,464.5308068,417.53625,1999.99599,334.9993283,391.3886478,65.5575985,445.2187379,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_126","IL23-1819",126,2,NA,1,1,1,26,NA,NA,24,NA,NA,"NDP250113G",15,7,43,67,86.36,NA,34,39,50.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,148,177,176,1,2,14.6,2254.35224,438.0869278,404.5325,1793.996403,406.999184,351.075617,79.64758982,425.8614015,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_127","IL19-6406",127,2,NA,1,1,1,27,NA,NA,24,NA,NA,"NDP170253Y",23,7,45,70,101.6,NA,36,61,71.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,149,175,174,2,2,18.6,2190.84936,405.8051652,443.415,1691.996608,416.9991639,331.114796,81.60453306,465.4559533,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_128","IL19-3618",128,2,NA,1,1,1,28,NA,NA,24,NA,NA,"NDP250079Y",18,9,39,69,86.36,NA,34,53,81.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,148,173,180,2,5,15.6,2404.0376,461.7047591,418.4375,1796.996397,571.9988532,351.6627,111.9371533,444.338859,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_129","IL23-271",129,2,NA,1,1,1,29,NA,NA,24,NA,NA,"ND VICTORY",23,2,49,62,71.12,NA,35,58,81.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,151,177,177,1,2,13.8,2644.44136,518.7066974,409.81125,1851.996287,770.9984542,362.4258878,150.8803237,427.6211593,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_130","IL22-4459",130,2,NA,1,1,1,30,NA,NA,24,NA,NA,"NDP250030Y",15,8,49,58,81.28,NA,44,53,71.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,146,175,175,1,1,12.8,2680.72872,531.9245082,365.65,2229.995529,414.9991679,436.3983423,81.21314441,409.1437018,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_131","IL23-1651",131,1,NA,1,1,1,31,NA,NA,24,NA,NA,"NDP250078Y",12,8,45,74,86.36,NA,37,49,71.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,150,172,176,2,2,14,2440.32496,477.5587006,437.75,1889.996211,511.9989735,369.8622721,100.1954938,481.293774,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_132","IL23-3738",132,1,NA,1,1,1,32,NA,NA,24,NA,NA,"NDP250035G",13,5,38,63,81.28,NA,29,44,76.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,155,176,180,3,5,12.1,2571.86664,514.4201467,387.92375,2058.995872,490.9990156,402.9346129,96.08591303,455.777285,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_133","IL23-1423",133,1,NA,1,1,1,33,NA,NA,24,NA,NA,"NDP150179Y",19,7,46,64,86.36,NA,34,49,55.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,150,175,175,2,2,15.7,2780.51896,533.376754,432.085,2179.995629,511.9989735,426.6136261,100.1954938,470.7352268,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_134","IL21-4178",134,1,NA,1,1,1,34,NA,NA,24,NA,NA,"NDP250132Y",12,7,47,72,81.28,NA,39,48,53.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,150,173,180,3,5,13.9,2431.25312,476.3366259,424.36,1914.996161,469.9990577,374.7546302,91.97633222,468.975469,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
"B4I_2025_IL","Intercropping Cooperative","Urbana, IL",2025,"p-rep","B4I 2025 spring oat pea intercrop trial with five locations","phenotyping_trial",1.4,3.65,NA,"4/25/25","7/8/25","B4I_2025_IL_135","IL23-1631",135,1,NA,1,1,1,35,NA,NA,24,NA,NA,"NDP250145G",19,9,44,73,86.36,NA,35,51,66.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,150,174,176,2,5,16,2444.86088,467.3196967,411.2275,1858.996273,468.9990597,363.7957481,91.7806379,468.09559,NA,NA,NA,"T1-05/15/25_T2-05/30/25_T3-06/10/25"
