"bulk_pack","accessionOat","Location","g_oat_per_location","nPlots","state","oatEntry"
260,"IL22-4169",1,24,1,"AL",68
261,"IL22-4169",2,48,2,"IA",68
262,"IL22-4169",3,24,1,"IL",68
263,"IL22-4169",4,48,2,"ND",68
264,"IL22-4169",5,72,3,"NY",68
265,"IL22-4235",1,24,1,"AL",69
266,"IL22-4235",2,24,1,"IA",69
267,"IL22-4235",3,24,1,"IL",69
268,"IL22-4235",4,48,2,"ND",69
269,"IL22-4235",5,48,2,"NY",69
270,"IL22-4325",1,24,1,"AL",70
271,"IL22-4325",3,48,2,"IL",70
272,"IL22-4325",4,24,1,"ND",70
273,"IL22-4325",5,24,1,"NY",70
274,"IL22-4432",4,48,2,"ND",71
275,"IL22-4432",5,48,2,"NY",71
276,"IL22-4459",1,24,1,"AL",72
277,"IL22-4459",2,24,1,"IA",72
278,"IL22-4459",3,24,1,"IL",72
279,"IL22-4459",4,24,1,"ND",72
280,"IL22-4459",5,96,4,"NY",72
281,"IL22-4548",1,72,3,"AL",73
282,"IL22-4548",3,48,2,"IL",73
283,"IL22-4548",4,96,4,"ND",73
284,"IL22-4548",5,48,2,"NY",73
285,"IL22-4714",1,72,3,"AL",74
286,"IL22-4714",3,48,2,"IL",74
287,"IL22-4714",4,48,2,"ND",74
288,"IL22-4714",5,24,1,"NY",74
289,"IL22-5070",1,24,1,"AL",75
290,"IL22-5070",3,24,1,"IL",75
291,"IL22-5070",4,72,3,"ND",75
292,"IL22-5070",5,24,1,"NY",75
293,"IL22-5335",1,48,2,"AL",76
294,"IL22-5335",3,24,1,"IL",76
295,"IL22-5335",4,24,1,"ND",76
296,"IL22-5365",1,48,2,"AL",77
297,"IL22-5365",2,96,4,"IA",77
298,"IL22-5365",3,48,2,"IL",77
299,"IL22-5365",4,72,3,"ND",77
300,"IL22-5365",5,96,4,"NY",77
301,"IL22-5830",1,72,3,"AL",78
302,"IL22-5830",4,24,1,"ND",78
303,"IL22-6261",4,24,1,"ND",79
304,"IL22-6261",5,96,4,"NY",79
305,"IL22-6264",1,24,1,"AL",80
306,"IL22-6264",2,24,1,"IA",80
307,"IL22-6264",3,24,1,"IL",80
308,"IL22-6264",5,72,3,"NY",80
309,"IL22-948",2,24,1,"IA",51
310,"IL22-948",3,48,2,"IL",51
