bulk_pack,peaEntry,accessionPea,Location,g_pea_per_location
279,68,NDP250094Y,5,51.6
280,69,NDP250095Y,1,54.0
281,69,NDP250095Y,2,108.0
282,69,NDP250095Y,3,162.0
283,69,NDP250095Y,4,108.0
284,69,NDP250095Y,5,162.0
285,70,NDP250096Y,1,53.7
286,70,NDP250096Y,2,107.4
287,70,NDP250096Y,4,53.7
288,71,NDP250097Y,1,256.8
289,71,NDP250097Y,2,64.2
290,71,NDP250097Y,3,192.6
291,71,NDP250097Y,4,64.2
292,72,NDP250098Y,1,141.6
293,72,NDP250098Y,2,70.8
294,72,NDP250098Y,3,70.8
295,72,NDP250098Y,4,141.6
296,72,NDP250098Y,5,141.6
297,73,NDP250099Y,1,57.9
298,73,NDP250099Y,2,115.8
299,73,NDP250099Y,3,57.9
300,73,NDP250099Y,4,57.9
301,73,NDP250099Y,5,57.9
302,74,NDP250100Y,1,63.5
303,74,NDP250100Y,2,63.5
304,74,NDP250100Y,3,190.4
305,74,NDP250100Y,4,63.5
306,74,NDP250100Y,5,63.5
307,75,NDP250101Y,1,252.0
308,75,NDP250101Y,2,63.0
309,75,NDP250101Y,3,63.0
310,75,NDP250101Y,4,189.0
311,75,NDP250101Y,5,63.0
312,76,NDP250102Y,2,75.6
313,76,NDP250102Y,3,151.2
314,76,NDP250102Y,4,151.2
315,76,NDP250102Y,5,75.6
316,77,NDP250103G,2,43.5
317,77,NDP250103G,3,43.5
318,77,NDP250103G,5,87.0
319,78,NDP250104G,1,52.2
320,78,NDP250104G,3,52.2
321,78,NDP250104G,4,52.2
322,78,NDP250104G,5,104.4
323,79,NDP250105G,1,65.5
324,79,NDP250105G,2,131.1
325,79,NDP250105G,3,196.6
326,79,NDP250105G,4,65.5
327,79,NDP250105G,5,131.1
328,80,NDP250106G,1,102.0
329,80,NDP250106G,2,102.0
330,80,NDP250106G,3,102.0
331,80,NDP250106G,4,51.0
332,80,NDP250106G,5,102.0
333,81,NDP250107G,1,256.8
334,81,NDP250107G,3,64.2
335,81,NDP250107G,4,128.4
336,81,NDP250107G,5,64.2
337,82,NDP250108G,1,109.8
338,82,NDP250108G,2,54.9
339,82,NDP250108G,3,109.8
340,82,NDP250108G,4,54.9
341,83,NDP250109G,1,61.5
342,83,NDP250109G,2,61.5
343,83,NDP250109G,3,61.5
344,83,NDP250109G,4,184.5
345,83,NDP250109G,5,123.0
346,84,NDP250110G,1,225.6
347,84,NDP250110G,2,169.2
348,84,NDP250110G,3,56.4
349,84,NDP250110G,4,169.2
350,84,NDP250110G,5,112.8
351,85,NDP250111G,1,153.5
352,85,NDP250111G,2,51.2
353,85,NDP250111G,5,51.2
354,86,NDP250112G,1,160.2
355,86,NDP250112G,2,53.4
356,86,NDP250112G,3,213.6
357,86,NDP250112G,4,106.8
358,86,NDP250112G,5,106.8
359,87,NDP250113G,1,163.8
360,87,NDP250113G,2,163.8
361,87,NDP250113G,3,109.2
362,87,NDP250113G,4,163.8
363,87,NDP250113G,5,109.2
364,88,NDP250114G,2,115.2
365,88,NDP250114G,4,115.2
366,88,NDP250114G,5,115.2
367,89,NDP250115G,2,67.2
368,89,NDP250115G,3,67.2
369,89,NDP250115G,4,67.2
370,89,NDP250115G,5,134.4
371,90,NDP250116G,2,127.2
372,90,NDP250116G,3,254.4
373,90,NDP250116G,4,318.0
374,90,NDP250116G,5,63.6
375,91,NDP250117G,4,65.7
376,91,NDP250117G,5,65.7
377,92,NDP250118G,1,114.6
378,92,NDP250118G,2,57.3
379,92,NDP250118G,4,57.3
380,93,NDP250119G,1,122.4
381,93,NDP250119G,2,61.2
382,93,NDP250119G,4,183.6
383,94,NDP250120G,1,206.1
384,94,NDP250120G,2,137.4
385,94,NDP250120G,3,68.7
386,94,NDP250120G,4,137.4
387,94,NDP250120G,5,137.4
388,95,NDP250121Y,1,71.4
389,95,NDP250121Y,2,71.4
390,95,NDP250121Y,3,71.4
391,95,NDP250121Y,4,71.4
392,95,NDP250121Y,5,71.4
393,96,NDP250122Y,1,234.0
394,96,NDP250122Y,2,78.0
395,96,NDP250122Y,4,156.0
396,96,NDP250122Y,5,156.0
397,97,NDP250123Y,1,77.0
398,97,NDP250123Y,2,230.9
399,97,NDP250123Y,3,77.0
400,97,NDP250123Y,4,77.0
401,97,NDP250123Y,5,77.0
402,98,NDP250124Y,1,78.0
403,98,NDP250124Y,2,156.0
404,98,NDP250124Y,3,156.0
405,98,NDP250124Y,5,156.0
406,99,NDP250125Y,1,140.2
407,99,NDP250125Y,2,70.1
408,99,NDP250125Y,3,140.2
409,99,NDP250125Y,4,210.3
410,99,NDP250125Y,5,70.1
411,100,NDP250126Y,5,144.0
412,101,NDP250127Y,1,129.6
413,101,NDP250127Y,3,129.6
414,101,NDP250127Y,4,129.6
415,102,NDP250128Y,1,63.3
416,102,NDP250128Y,3,126.5
417,102,NDP250128Y,4,189.8
418,102,NDP250128Y,5,126.5
419,103,NDP250129Y,3,63.6
420,103,NDP250129Y,4,190.8
421,104,NDP250130Y,1,64.2
422,104,NDP250130Y,2,64.2
423,104,NDP250130Y,3,192.6
424,104,NDP250130Y,4,64.2
425,105,NDP250131Y,1,120.0
426,105,NDP250131Y,2,60.0
427,105,NDP250131Y,4,60.0
428,105,NDP250131Y,5,240.0
