consec,GID,YEAR,IDno,MaxFreq,SeePlot_g,SeeLoc_g,AL,IA,IL,ND,NY,TOTALfreq,wgTOTAL,lCONSEC,lACCNO,lGID,lLOC,lLOCwg,pLABEL01,pLABEL02,pLABEL03
11,IL24-823,24,823,2,24,48,1,2,1,1,1,6,264,42,11,IL24-823,IA,120 g,42  ( IA--11 ),IL24-823,B4i-26 Oat seed ~120 g
11,IL24-823,24,823,2,24,48,1,2,1,1,1,6,264,43,11,IL24-823,ND,120 g,43  ( ND--11 ),IL24-823,B4i-26 Oat seed ~120 g
11,IL24-823,24,823,2,24,48,1,2,1,1,1,6,264,44,11,IL24-823,NY,120 g,44  ( NY--11 ),IL24-823,B4i-26 Oat seed ~120 g
12,IL24-7458,24,7458,2,24,48,2,2,2,2,2,10,360,45,12,IL24-7458,AL,120 g,45  ( AL--12 ),IL24-7458,B4i-26 Oat seed ~120 g
12,IL24-7458,24,7458,2,24,48,2,2,2,2,2,10,360,46,12,IL24-7458,IA,120 g,46  ( IA--12 ),IL24-7458,B4i-26 Oat seed ~120 g
12,IL24-7458,24,7458,2,24,48,2,2,2,2,2,10,360,47,12,IL24-7458,ND,120 g,47  ( ND--12 ),IL24-7458,B4i-26 Oat seed ~120 g
12,IL24-7458,24,7458,2,24,48,2,2,2,2,2,10,360,48,12,IL24-7458,NY,120 g,48  ( NY--12 ),IL24-7458,B4i-26 Oat seed ~120 g
13,IL24-2309,24,2309,2,24,48,2,1,1,1,2,7,288,49,13,IL24-2309,AL,120 g,49  ( AL--13 ),IL24-2309,B4i-26 Oat seed ~120 g
13,IL24-2309,24,2309,2,24,48,2,1,1,1,2,7,288,50,13,IL24-2309,IA,120 g,50  ( IA--13 ),IL24-2309,B4i-26 Oat seed ~120 g
13,IL24-2309,24,2309,2,24,48,2,1,1,1,2,7,288,51,13,IL24-2309,ND,120 g,51  ( ND--13 ),IL24-2309,B4i-26 Oat seed ~120 g
13,IL24-2309,24,2309,2,24,48,2,1,1,1,2,7,288,52,13,IL24-2309,NY,120 g,52  ( NY--13 ),IL24-2309,B4i-26 Oat seed ~120 g
