"locationName","plot.subplot","biomass_timepoint","biomass_T1","biomass_T2","biomass_T3"
"NY","115.1",3,NA,NA,1
"NY","115.2",2,NA,1,NA
"NY","115.3",1,1,NA,NA
"NY","116.1",3,NA,NA,1
"NY","116.2",1,1,NA,NA
"NY","116.3",2,NA,1,NA
"NY","117.1",2,NA,1,NA
"NY","117.2",3,NA,NA,1
"NY","117.3",1,1,NA,NA
"NY","118.1",2,NA,1,NA
"NY","118.2",1,1,NA,NA
"NY","118.3",3,NA,NA,1
"NY","119.1",1,1,NA,NA
"NY","119.2",3,NA,NA,1
"NY","119.3",2,NA,1,NA
"NY","120.1",1,1,NA,NA
"NY","120.2",2,NA,1,NA
"NY","120.3",3,NA,NA,1
