X,location,oat_id,pea_id,combo,block_type,oat_total_plots,pea_total_plots,oat_used_plots,pea_used_plots,oat_plots_remaining,pea_plots_remaining,block,within_rep,row,col,plot_number,unit,gid,gid.no,row,col,rep,trt,block,plot,pedigree,crop,trial,location,year,design,field
878,IL,IL24-7474,NDP250222G,IL24-7474+NDP250222G,unique_new,145,12,18,12,127,0,1,NA,4,3,78,78,IL24-7474+NDP250222G,NA,2,3,1,NA,1,238,IL24-7474+NDP250222G,OatPea,iCrop,Urb,26,PR,M-7
879,IL,IL24-975,NDP250192Y,IL24-975+NDP250192Y,between_env,161,34,9,19,152,15,1,NA,4,2,79,79,IL24-975+NDP250192Y,NA,2,2,1,NA,1,239,IL24-975+NDP250192Y,OatPea,iCrop,Urb,26,PR,M-7
880,IL,IL24-1005,NDP250194Y,IL24-1005+NDP250194Y,unique_new,145,26,3,10,142,16,1,NA,4,1,80,80,IL24-1005+NDP250194Y,NA,2,1,1,NA,1,240,IL24-1005+NDP250194Y,OatPea,iCrop,Urb,26,PR,M-7
881,IL,IL24-3859,NDP250164Y,IL24-3859+NDP250164Y,within_env,138,34,5,15,133,19,1,1,5,1,81,81,IL24-3859+NDP250164Y,NA,3,1,1,NA,1,301,IL24-3859+NDP250164Y,OatPea,iCrop,Urb,26,PR,M-7
882,IL,IL24-2564,GREENWOOD,IL24-2564+GREENWOOD,unique_new,149,25,12,9,137,16,1,NA,5,2,82,82,IL24-2564+GREENWOOD,NA,3,2,1,NA,1,302,IL24-2564+GREENWOOD,OatPea,iCrop,Urb,26,PR,M-7
883,IL,IL24-6455,NDP250362G,IL24-6455+NDP250362G,between_env,141,9,10,9,131,0,1,NA,5,3,83,83,IL24-6455+NDP250362G,NA,3,3,1,NA,1,303,IL24-6455+NDP250362G,OatPea,iCrop,Urb,26,PR,M-7
884,IL,IL24-6468,NDP250123Y,IL24-6468+NDP250123Y,unique_new,118,13,9,4,109,9,1,NA,5,4,84,84,IL24-6468+NDP250123Y,NA,3,4,1,NA,1,304,IL24-6468+NDP250123Y,OatPea,iCrop,Urb,26,PR,M-7
885,IL,IL24-3816,NDP180059Y,IL24-3816+NDP180059Y,unique_new,148,22,13,4,135,18,1,NA,5,5,85,85,IL24-3816+NDP180059Y,NA,3,5,1,NA,1,305,IL24-3816+NDP180059Y,OatPea,iCrop,Urb,26,PR,M-7
886,IL,IL24-426,NDP250205Y,IL24-426+NDP250205Y,between_env,164,23,15,12,149,11,1,NA,5,6,86,86,IL24-426+NDP250205Y,NA,3,6,1,NA,1,306,IL24-426+NDP250205Y,OatPea,iCrop,Urb,26,PR,M-7
887,IL,IL24-3376,NDP250307G,IL24-3376+NDP250307G,between_env,151,17,7,13,144,4,1,NA,5,7,87,87,IL24-3376+NDP250307G,NA,3,7,1,NA,1,307,IL24-3376+NDP250307G,OatPea,iCrop,Urb,26,PR,M-7
888,IL,IL24-1031,NDP180101G,IL24-1031+NDP180101G,unique_new,130,16,12,10,118,6,1,NA,5,8,88,88,IL24-1031+NDP180101G,NA,3,8,1,NA,1,308,IL24-1031+NDP180101G,OatPea,iCrop,Urb,26,PR,M-7
889,IL,IL23-1450,NDP250160Y,IL23-1450+NDP250160Y,carryover,10,10,3,4,7,6,1,NA,5,9,89,89,IL23-1450+NDP250160Y,NA,3,9,1,NA,1,309,IL23-1450+NDP250160Y,OatPea,iCrop,Urb,26,PR,M-7
890,IL,IL24-5315,NDP250369G,IL24-5315+NDP250369G,unique_new,166,9,6,9,160,0,1,NA,5,10,90,90,IL24-5315+NDP250369G,NA,3,10,1,NA,1,310,IL24-5315+NDP250369G,OatPea,iCrop,Urb,26,PR,M-7
891,IL,IL24-4758,NDP250045Y,IL24-4758+NDP250045Y,unique_new,131,33,6,13,125,20,1,NA,5,11,91,91,IL24-4758+NDP250045Y,NA,3,11,1,NA,1,311,IL24-4758+NDP250045Y,OatPea,iCrop,Urb,26,PR,M-7
892,IL,IL24-8149,NDP250278G,IL24-8149+NDP250278G,unique_new,138,18,6,10,132,8,1,NA,5,12,92,92,IL24-8149+NDP250278G,NA,3,12,1,NA,1,312,IL24-8149+NDP250278G,OatPea,iCrop,Urb,26,PR,M-7
893,IL,IL24-2246,NDP250202Y,IL24-2246+NDP250202Y,unique_new,157,29,13,13,144,16,1,NA,5,13,93,93,IL24-2246+NDP250202Y,NA,3,13,1,NA,1,313,IL24-2246+NDP250202Y,OatPea,iCrop,Urb,26,PR,M-7
894,IL,IL24-2357,NDP250297G,IL24-2357+NDP250297G,within_env,139,9,8,8,131,1,1,1,5,14,94,94,IL24-2357+NDP250297G,NA,3,14,1,NA,1,314,IL24-2357+NDP250297G,OatPea,iCrop,Urb,26,PR,M-7
895,IL,IL24-3735,NDP250167Y,IL24-3735+NDP250167Y,unique_new,117,24,18,8,99,16,1,NA,5,15,95,95,IL24-3735+NDP250167Y,NA,3,15,1,NA,1,315,IL24-3735+NDP250167Y,OatPea,iCrop,Urb,26,PR,M-7
896,IL,IL24-3824,NDP250016G,IL24-3824+NDP250016G,within_env,163,24,15,13,148,11,1,1,5,16,96,96,IL24-3824+NDP250016G,NA,3,16,1,NA,1,316,IL24-3824+NDP250016G,OatPea,iCrop,Urb,26,PR,M-7
897,IL,IL24-552,NDP250276G,IL24-552+NDP250276G,unique_new,137,20,8,15,129,5,1,NA,5,17,97,97,IL24-552+NDP250276G,NA,3,17,1,NA,1,317,IL24-552+NDP250276G,OatPea,iCrop,Urb,26,PR,M-7
898,IL,IL24-7537,NDP250209G,IL24-7537+NDP250209G,network_seed,172,35,16,12,156,23,1,NA,5,18,98,98,IL24-7537+NDP250209G,NA,3,18,1,NA,1,318,IL24-7537+NDP250209G,OatPea,iCrop,Urb,26,PR,M-7
899,IL,IL24-4635,NDP250214Y,IL24-4635+NDP250214Y,unique_new,144,22,5,9,139,13,1,NA,5,19,99,99,IL24-4635+NDP250214Y,NA,3,19,1,NA,1,319,IL24-4635+NDP250214Y,OatPea,iCrop,Urb,26,PR,M-7
900,IL,IL24-310,NDP250385G,IL24-310+NDP250385G,unique_new,156,7,10,6,146,1,1,NA,5,20,100,100,IL24-310+NDP250385G,NA,3,20,1,NA,1,320,IL24-310+NDP250385G,OatPea,iCrop,Urb,26,PR,M-7
