"","pea_id","AL","IA","IL","ND","NY"
"154","NDP250279G",4,2,2,4,3
"155","NDP250280G",2,2,3,3,4
"156","NDP250281G",2,1,1,1,1
"157","NDP250282G",3,3,4,3,3
"158","NDP250283G",2,2,2,1,1
"159","NDP250284G",1,1,1,2,1
"160","NDP250285G",2,3,2,2,2
"161","NDP250286G",1,0,1,1,2
"162","NDP250288Y",1,2,1,0,1
"163","NDP250291Y",1,1,1,2,1
"164","NDP250292Y",2,2,2,2,2
"165","NDP250293Y",2,2,1,2,2
"166","NDP250294Y",2,2,2,2,2
"167","NDP250295Y",2,2,2,2,1
"168","NDP250296Y",1,1,1,0,1
"169","NDP250297G",1,1,2,2,2
"170","NDP250298G",2,2,1,2,1
"171","NDP250300G",2,1,1,1,1
"172","NDP250301G",2,2,2,2,2
"173","NDP250302G",2,1,1,2,2
"174","NDP250304G",1,2,2,2,3
"175","NDP250305G",1,1,0,1,1
"176","NDP250306G",1,1,1,1,1
"177","NDP250307G",3,3,2,2,3
"178","NDP250310G",1,1,1,2,1
"179","NDP250312G",2,1,2,3,2
"180","NDP250313G",2,1,1,2,2
"181","NDP250315Y",2,2,1,2,2
"182","NDP250316Y",4,3,4,3,2
"183","NDP250317Y",2,2,1,1,2
"184","NDP250318Y",2,2,1,2,2
"185","NDP250320G",2,1,1,2,1
"186","NDP250323G",2,1,1,2,1
"187","NDP250324G",1,1,1,1,1
"188","NDP250325G",3,3,3,4,3
"189","NDP250326G",1,2,1,1,2
"190","NDP250327G",2,1,2,1,1
"191","NDP250329G",1,2,2,1,2
"192","NDP250330G",1,2,1,2,1
"193","NDP250332G",2,2,3,2,1
"194","NDP250333G",2,1,3,1,2
"195","NDP250336G",3,3,3,3,2
"196","NDP250337G",1,1,2,2,0
"197","NDP250338G",1,1,2,2,1
"198","NDP250339G",2,1,2,2,2
"199","NDP250340G",1,2,2,1,3
"200","NDP250341G",1,3,2,2,2
"201","NDP250342G",2,2,1,2,1
"202","NDP250344G",2,1,1,2,1
"203","NDP250345G",2,3,2,2,2
"204","NDP250346G",2,1,1,1,1
"205","NDP250347G",2,2,2,1,2
"206","NDP250348G",1,2,1,1,1
"207","NDP250349G",1,1,2,1,1
"208","NDP250350G",2,2,2,2,2
"209","NDP250351G",1,1,1,3,1
"210","NDP250352G",1,1,2,1,1
"211","NDP250354G",1,1,1,2,2
"212","NDP250357G",1,2,2,1,1
"213","NDP250358G",2,2,1,1,1
"214","NDP250359G",1,1,1,2,2
"215","NDP250360G",1,2,1,2,1
"216","NDP250361G",1,1,1,1,2
"217","NDP250362G",1,2,3,1,2
"218","NDP250363G",2,1,1,2,1
"219","NDP250366G",1,1,1,1,1
"220","NDP250368G",1,2,1,1,2
"221","NDP250369G",2,2,2,2,1
"222","NDP250370G",2,1,1,1,1
"223","NDP250371G",1,1,1,1,2
"224","NDP250372G",2,1,1,1,1
"225","NDP250373G",1,2,2,2,1
"226","NDP250374Y",1,2,2,2,1
